135
(1,5.5)
(3,6.5)
(4,7.5)
(2,8.0)
(3,9.0)
(1,9.5)
(4,10.5)
(2,11.5)
(3,12.0)
(1,12.5)
(4,13.5)
(2,14.5)
(4,15.5)
(1,16.0)
(2,17.0)
(1,17.5)
(2,18.5)
(4,19.5)
(3,20.0)
(1,21.5)
(4,22.5)
(2,23.5)
(3,24.0)
(1,25.0)
(4,25.5)
(2,26.5)
(4,27.5)
(3,28.0)
(1,29.5)
(4,29.5)
(1,30.0)
(1,30.5)
(2,31.5)
(3,31.5)
(2,32.0)
(2,32.5)
(3,33.5)
(2,33.5)
(3,34.0)
(3,34.5)
(2,35.0)
(3,36.5)
(4,37.5)
(4,38.0)
(4,38.5)
(3,39.5)
(3,40.0)
(3,40.5)
(2,41.5)
(2,42.0)
(2,42.5)
(4,43.5)
(2,44.5)
(3,45.5)
(1,47.0)
(1,47.5)
(4,49.5)
(2,52.5)
(3,53.0)
(2,53.5)
(4,55.0)
(2,56.0)
(1,56.5)
(2,57.0)
(3,57.5)
(1,59.5)
(4,60.5)
(1,61.5)
(2,63.0)
(4,63.5)
(3,65.5)
(2,68.5)
(1,69.0)
(2,69.5)
(4,71.5)
(4,72.0)
(1,72.5)
(3,73.0)
(2,73.5)
(2,75.5)
(4,76.5)
(3,77.5)
(1,79.0)
(1,79.5)
(3,81.5)
(4,84.5)
(2,85.0)
(1,85.5)
(3,87.0)
(2,88.0)
(1,88.5)
(4,89.0)
(4,89.5)
(1,91.5)
(3,92.5)
(2,93.5)
(3,95.0)
(1,95.5)
(2,97.5)
(4,100.5)
(3,101.0)
(2,101.5)
(1,103.5)
(4,104.0)
(4,104.5)
(3,105.0)
(2,105.5)
(1,110.5)
(2,111.5)
(1,112.5)
(2,113.5)
(3,115.0)
(4,117.0)
(4,118.5)
(3,119.5)
(3,120.5)
(4,121.5)
(2,123.0)
(3,123.5)
(1,126.5)
(4,127.0)
(2,128.0)
(3,128.5)
(2,129.5)
(3,131.0)
(1,132.5)
(3,133.5)
(2,137.5)
(1,141.5)
(2,143.0)
(3,144.5)
(4,145.5)
(2,147.0)
(3,148.5)
(1,149.5)
(2,152.5)
(3,153.0)
(1,153.5)
(2,154.0)
(1,154.5)
(3,155.0)
(4,155.5)
(2,157.5)
(3,159.0)
(2,160.5)
(1,161.5)
(4,163.0)
(2,164.5)
(3,165.5)
(1,167.0)
(4,168.0)
(2,168.5)
(1,169.0)
(2,169.5)
(1,171.0)
(4,172.0)
(3,172.5)
(2,173.0)
(3,173.5)
(1,175.0)
(3,176.5)
(2,177.5)
(1,179.0)
(2,180.5)
(4,181.5)
(3,184.5)
(4,185.0)
(2,185.5)
(1,186.0)
(3,186.5)
(4,187.0)
(2,187.5)
(2,191.0)
(1,191.5)
(1,192.0)
(2,192.5)
(3,193.0)
(3,193.5)
(1,195.0)
(2,196.5)
(4,197.5)
(2,199.0)
(1,201.0)
(2,201.5)
//副歌结束

