135
0
(1,4.5)
(3,5.5)
(2,6.5)
(4,7)
(2,8.5)
(3,9.5)
(1,10.5)
(4,11.0)
(2,12.0)
(3,12.5)
(1,13.5)
(2,14.5)
(3,15.0)
(2,16.5)
(4,17.5)
(2,18.5)
(1,19.0)
(4,20.0)
(3,20.5)
(1,21.5)
(2,22.5)
(3,23.0)
(4,24.5)
(4,25.0)
(4,25.5)
(3,26.5)
(3,27.0)
(3,27.5)
(2,28.5)
(2,29.0)
(2,29.5)
(4,30.0)
(1,31.5)
(1,32.5)
(1,33.0)
(1,33.5)
(2,34.5)
(2,35.0)
(2,35.5)
(3,36.5)
(3,37.0)
(3,37.5)
(2,38.5)
(4,39.5)
(2,40.5)
(3,42.0)
(4,47.5)
(2,48.0)
(3,48.5)
(1,50.0)
(4,51.0)
(2,51.5)
(3,52.0)
(1,54.5)
(2,55.5)
(4,56.5)
(2,58.0)
(1,63.5)
(3,64.0)
(2,66.5)
(3,67.0)
(4,67.5)
(3,68.0)
(2,70.5)
(1,71.5)
(2,72.5)
(3,74.0)
(4,76.0)
(1,83.5)
(2,84.0)
(3,84.5)
(2,86.0)
(4,87.0)
(2,87.5)
(3,88.0)
(1,90.5)
(2,91.5)
(3,92.5)
(1,94.0)
(4,99.5)
(4,100.0)
(2,102.5)
(1,103.0)
(3,103.5)
(1,104.0)
(2,109.5)
(3,110.5)
(1,111.5)
(2,112.5)
(1,116.0)
(2,117.5)
(4,118.5)
(2,119.5)
(4,120.5)
(1,121.5)
(2,124.5)
(3,126.0)
(4,127.5)
(2,136.5)
(3,138.0)
(1,139.5)
(4,140.5)
(2,142.0)
(3,143.5)
(4,144.5)
(1,147.5)
(2,148.0)
(3,148.5)
(1,149.0)
(2,149.5)
(4,150.0)
(2,152.5)
(1,154.0)
(4,155.5)
(2,156.5)
(1,158.0)
(2,159.5)
(4,160.5)
(3,162.0)
(1,163.0)
(4,163.5)
(3,164.0)
(4,164.5)
(1,166.0)
(3,167.0)
(2,167.5)
(3,168.0)
(2,168.5)
(4,170.0)
(1,171.5)
(1,172.5)
(2,174.0)
(4,175.5)
(3,176.5)
(3,179.5)
(1,180.0)
(2,180.5)
(4,181.0)
(2,181.5)
(3,182.0)
(2,186.0)
(1,186.5)
(1,187.0)
(4,187.5)
(2,188.0)
(3,188.5)
(4,190.0)
(2,191.5)
(1,192.5)
(4,195.5)
(2,196.5)
(3,202.0)
(1,203.0)
(2,203.5)
(3,204.0)
(3,206.5)
(1,207.0)
(2,207.5)
(1,208.0)
(4,208.5)
(1,209.5)
(2,210.5)
(4,211.0)
(1,212.0)
(4,212.5)
(2,213.5)
(3,214.5)
(1,215.0)
(2,216.5)
(4,217.5)
(3,218.5)
(1,219.0)
(2,220.0)
(4,220.5)
(2,221.5)
(3,222.5)
(1,223.0)
(3,224.5)
(2,225.5)
(3,226.5)
(1,227.0)
(4,228.0)
(2,228.5)
(3,229.5)
(1,230.5)
(4,231.0)
(1,232.5)
(2,233.0)
(4,233.5)
(2,234.5)
(3,235.0)
(4,235.5)
(3,236.5)
(1,237.5)
(3,238.0)
(2,239.5)
(3,240.5)
(4,241.0)
(1,241.5)
(2,242.5)
(3,243.0)
(4,243.5)
(2,244.5)
(3,245.0)
(1,245.5)
(4,246.5)
(2,247.5)
(3,248.5)
(4,250.0)
(2,250.0)
(3,255.5)
(1,256.0)
(2,256.5)
(3,258.0)
(3,259.0)
(2,259.5)
(1,260.0)
(4,260.0)
(3,262.5)
(2,263.5)
(3,264.5)
(1,266.0)
(4,266.0)
(2,271.5)
(3,272.0)
(1,274.5)
(4,275.0)
(1,275.5)
(4,276.0)
(2,278.5)
(3,279.5)
(1,280.5)
(4,280.5)
(2,282.0)
(3,287.5)
(1,288.0)
(4,288.5)
(2,290.0)
(3,291.0)
(1,291.5)
(2,292.0)
(3,294.5)
(4,295.5)
(2,296.5)
(3,298.0)
(1,303.5)
(3,304.0)
(4,306.5)
(1,307.0)
(2,307.5)
(4,308.0)
(1,313.5)
(2,314.5)
(4,315.5)
(2,316.5)
(1,320.0)
(4,321.5)
(3,322.5)
(1,323.5)
(2,324.5)
(4,326.0)
(3,329.5)
(1,330.0)
(4,331.0)
(2,331.5)
(4,332.5)
(1,334.0)
(3,335.5)
